,country,food_category,consumption,co2_emmission,Continent
0,Albania,Fish,3.85,6.15,Europe
1,Albania,Grains,73.21,18.200000000000003,Europe
2,Albania,Milk and Wheat Products,303.72,432.62,Europe
3,Albania,Poultry,12.84,12.825,Europe
4,Albania,Protein Foods,2.1799999999999997,3.86,Europe
5,Albania,Red Meat,16.233333333333334,423.1033333333333,Europe
6,Algeria,Fish,3.74,5.970000000000001,Africa
7,Algeria,Grains,94.195,19.58,Africa
8,Algeria,Milk and Wheat Products,141.53,201.6,Africa
9,Algeria,Poultry,7.74,7.6850000000000005,Africa
10,Algeria,Protein Foods,1.04,1.84,Africa
11,Algeria,Red Meat,4.43,147.36666666666667,Africa
12,Angola,Fish,15.239999999999998,24.33,Africa
13,Angola,Grains,24.42,9.08,Africa
14,Angola,Milk and Wheat Products,12.3,17.52,Africa
15,Angola,Poultry,9.22,9.82,Africa
16,Angola,Protein Foods,1.39,2.115,Africa
17,Angola,Red Meat,6.13,109.70333333333333,Africa
18,Argentina,Fish,4.359999999999999,6.96,South America
19,Argentina,Grains,55.94,15.440000000000001,South America
20,Argentina,Milk and Wheat Products,195.08,277.87,South America
21,Argentina,Poultry,25.025,25.995,South America
22,Argentina,Protein Foods,0.245,0.43500000000000005,South America
23,Argentina,Red Meat,22.516666666666666,601.2766666666668,South America
24,Armenia,Fish,4.359999999999999,6.96,Asia
25,Armenia,Grains,66.89,14.49,Asia
26,Armenia,Milk and Wheat Products,209.03,297.74,Asia
27,Armenia,Poultry,12.52,12.54,Asia
28,Armenia,Protein Foods,1.275,2.255,Asia
29,Armenia,Red Meat,10.783333333333333,248.88666666666668,Asia
30,Australia,Fish,17.69,28.25,Oceania
31,Australia,Grains,40.745000000000005,13.78,Oceania
32,Australia,Milk and Wheat Products,234.49,334.01,Oceania
33,Australia,Poultry,27.315,28.68,Oceania
34,Australia,Protein Foods,4.459999999999999,7.77,Oceania
35,Australia,Red Meat,22.623333333333335,491.98,Oceania
36,Austria,Fish,12.16,19.42,Europe
37,Austria,Grains,42.4,10.100000000000001,Europe
38,Austria,Milk and Wheat Products,258.09,367.62,Europe
39,Austria,Poultry,16.645000000000003,16.74,Europe
40,Austria,Protein Foods,4.97,7.4399999999999995,Europe
41,Austria,Red Meat,23.62,251.85333333333332,Europe
42,Bahamas,Fish,18.8,30.02,North America
43,Bahamas,Grains,31.974999999999998,19.145,North America
44,Bahamas,Milk and Wheat Products,104.76,149.22,North America
45,Bahamas,Poultry,25.970000000000002,27.415000000000003,North America
46,Bahamas,Protein Foods,2.06,3.585,North America
47,Bahamas,Red Meat,19.293333333333333,304.4566666666667,North America
48,Bangladesh,Fish,18.07,28.85,Asia
49,Bangladesh,Grains,94.6,111.545,Asia
50,Bangladesh,Milk and Wheat Products,21.91,31.21,Asia
51,Bangladesh,Poultry,1.74,1.705,Asia
52,Bangladesh,Protein Foods,0.665,0.77,Asia
53,Bangladesh,Red Meat,0.8700000000000001,28.69333333333333,Asia
54,Barbados,Fish,37.41,59.73,North America
55,Barbados,Grains,40.685,16.285,North America
56,Barbados,Milk and Wheat Products,110.48,157.37,North America
57,Barbados,Poultry,26.115000000000002,27.305,North America
58,Barbados,Protein Foods,2.1299999999999994,3.7049999999999996,North America
59,Barbados,Red Meat,8.503333333333334,192.47333333333336,North America
60,Belarus,Fish,15.75,25.15,Europe
61,Belarus,Grains,31.825,7.795,Europe
62,Belarus,Milk and Wheat Products,133.73,190.49,Europe
63,Belarus,Poultry,23.575,24.09,Europe
64,Belarus,Protein Foods,1.8299999999999998,3.045,Europe
65,Belarus,Red Meat,19.19666666666667,224.90666666666667,Europe
66,Belgium,Fish,18.97,30.29,Europe
67,Belgium,Grains,60.26,16.18,Europe
68,Belgium,Milk and Wheat Products,236.19,336.42999999999995,Europe
69,Belgium,Poultry,12.395,12.34,Europe
70,Belgium,Protein Foods,3.695,6.495,Europe
71,Belgium,Red Meat,18.533333333333335,221.78,Europe
72,Belize,Fish,7.57,12.09,North America
73,Belize,Grains,41.24,23.34,North America
74,Belize,Milk and Wheat Products,80.3,114.38,North America
75,Belize,Poultry,16.58,17.435,North America
76,Belize,Protein Foods,3.73,5.365,North America
77,Belize,Red Meat,7.266666666666667,71.44333333333334,North America
78,Bermuda,Fish,33.220000000000006,53.04,North America
79,Bermuda,Grains,30.130000000000003,8.675,North America
80,Bermuda,Milk and Wheat Products,95.56,136.12,North America
81,Bermuda,Poultry,23.770000000000003,24.375,North America
82,Bermuda,Protein Foods,2.9699999999999998,5.109999999999999,North America
83,Bermuda,Red Meat,21.366666666666664,405.9333333333334,North America
84,Bolivia,Fish,2.18,3.48,South America
85,Bolivia,Grains,38.49,22.035,South America
86,Bolivia,Milk and Wheat Products,46.04,65.58,South America
87,Bolivia,Poultry,19.744999999999997,20.81,South America
88,Bolivia,Protein Foods,4.585,8.105,South America
89,Bolivia,Red Meat,10.13,234.02333333333334,South America
90,Bosnia and Herzegovina,Fish,4.06,6.48,Europe
91,Bosnia and Herzegovina,Grains,47.72,10.125,Europe
92,Bosnia and Herzegovina,Milk and Wheat Products,174.03,247.89,Europe
93,Bosnia and Herzegovina,Poultry,8.83,9.135,Europe
94,Bosnia and Herzegovina,Protein Foods,1.74,2.105,Europe
95,Bosnia and Herzegovina,Red Meat,6.323333333333333,110.36,Europe
96,Botswana,Fish,3.98,6.35,Africa
97,Botswana,Grains,22.630000000000003,8.155,Africa
98,Botswana,Milk and Wheat Products,117.74,167.70999999999998,Africa
99,Botswana,Poultry,3.64,3.7600000000000002,Africa
100,Botswana,Protein Foods,1.12,1.2149999999999999,Africa
101,Botswana,Red Meat,4.116666666666666,125.50666666666666,Africa
102,Brazil,Fish,10.01,15.98,South America
103,Brazil,Grains,42.565,25.615000000000002,South America
104,Brazil,Milk and Wheat Products,149.28,212.63,South America
105,Brazil,Poultry,26.990000000000002,28.295,South America
106,Brazil,Protein Foods,2.145,1.4100000000000001,South America
107,Brazil,Red Meat,17.49,425.8266666666666,South America
108,Bulgaria,Fish,6.24,9.96,Europe
109,Bulgaria,Grains,61.705,12.990000000000002,Europe
110,Bulgaria,Milk and Wheat Products,155.70999999999998,221.79,Europe
111,Bulgaria,Poultry,14.52,14.945,Europe
112,Bulgaria,Protein Foods,1.15,2.01,Europe
113,Bulgaria,Red Meat,10.576666666666666,89.50666666666666,Europe
114,Cambodia,Fish,39.59,63.21,Asia
115,Cambodia,Grains,80.92,102.06,Asia
116,Cambodia,Milk and Wheat Products,3.47,4.94,Asia
117,Cambodia,Poultry,1.605,1.62,Asia
118,Cambodia,Protein Foods,2.79,2.08,Asia
119,Cambodia,Red Meat,3.7899999999999996,57.57999999999999,Asia
120,Cameroon,Fish,14.71,23.49,Africa
121,Cameroon,Grains,23.225,17.415,Africa
122,Cameroon,Milk and Wheat Products,15.27,21.75,Africa
123,Cameroon,Poultry,1.845,1.95,Africa
124,Cameroon,Protein Foods,4.965,8.364999999999998,Africa
125,Cameroon,Red Meat,2.3466666666666662,60.97,Africa
126,Canada,Fish,14.56,23.25,North America
127,Canada,Grains,48.80500000000001,16.195,North America
128,Canada,Milk and Wheat Products,187.77,267.46,North America
129,Canada,Poultry,24.814999999999998,25.65,North America
130,Canada,Protein Foods,4.475,7.3,North America
131,Canada,Red Meat,18.01,349.3866666666667,North America
132,Chile,Fish,7.649999999999999,12.21,South America
133,Chile,Grains,56.795,15.649999999999999,South America
134,Chile,Milk and Wheat Products,116.11,165.39,South America
135,Chile,Poultry,23.245,24.195,South America
136,Chile,Protein Foods,1.1300000000000001,1.975,South America
137,Chile,Red Meat,16.32,279.4433333333334,South America
138,China,Fish,21.01,33.55,Asia
139,China,Grains,70.77,56.065,Asia
140,China,Milk and Wheat Products,32.660000000000004,46.52,Asia
141,China,Poultry,15.98,15.705,Asia
142,China,Protein Foods,5.025,6.48,Asia
143,China,Red Meat,15.56,134.54,Asia
144,Colombia,Fish,6.01,9.6,South America
145,Colombia,Grains,28.905,20.77,South America
146,Colombia,Milk and Wheat Products,108.47,154.5,South America
147,Colombia,Poultry,19.175,19.76,South America
148,Colombia,Protein Foods,0.655,0.5700000000000001,South America
149,Colombia,Red Meat,7.6933333333333325,178.41,South America
150,Congo,Fish,26.22,41.86,Africa
151,Congo,Grains,28.29,14.385000000000002,Africa
152,Congo,Milk and Wheat Products,10.69,15.23,Africa
153,Congo,Poultry,6.81,7.2700000000000005,Africa
154,Congo,Protein Foods,1.54,2.725,Africa
155,Congo,Red Meat,2.3800000000000003,52.23333333333333,Africa
156,Costa Rica,Fish,11.32,18.07,North America
157,Costa Rica,Grains,42.5,32.985,North America
158,Costa Rica,Milk and Wheat Products,183.28,261.06,North America
159,Costa Rica,Poultry,17.509999999999998,17.99,North America
160,Costa Rica,Protein Foods,1.46,1.565,North America
161,Costa Rica,Red Meat,8.51,169.02,North America
162,Croatia,Fish,15.83,25.28,Europe
163,Croatia,Grains,54.615,11.854999999999999,Europe
164,Croatia,Milk and Wheat Products,231.02,329.06,Europe
165,Croatia,Poultry,8.5,8.47,Europe
166,Croatia,Protein Foods,1.94,3.435,Europe
167,Croatia,Red Meat,18.970000000000002,198.0966666666667,Europe
168,Cuba,Fish,4.76,7.6,North America
169,Cuba,Grains,61.160000000000004,48.53,North America
170,Cuba,Milk and Wheat Products,99.94,142.35000000000002,North America
171,Cuba,Poultry,14.985,15.334999999999999,North America
172,Cuba,Protein Foods,3.285,1.6300000000000001,North America
173,Cuba,Red Meat,9.15,103.58333333333333,North America
174,Cyprus,Fish,14.86,23.73,Asia
175,Cyprus,Grains,44.095,11.1,Asia
176,Cyprus,Milk and Wheat Products,113.31,161.4,Asia
177,Cyprus,Poultry,16.715,17.255000000000003,Asia
178,Cyprus,Protein Foods,2.32,4.079999999999999,Asia
179,Cyprus,Red Meat,16.406666666666666,163.79,Asia
180,Czech Republic,Fish,8.25,13.17,Europe
181,Czech Republic,Grains,48.730000000000004,11.9,Europe
182,Czech Republic,Milk and Wheat Products,195.2,278.04,Europe
183,Czech Republic,Poultry,15.375,15.610000000000001,Europe
184,Czech Republic,Protein Foods,1.645,2.37,Europe
185,Czech Republic,Red Meat,16.553333333333335,136.37333333333333,Europe
186,Denmark,Fish,16.49,26.33,Europe
187,Denmark,Grains,51.48,12.52,Europe
188,Denmark,Milk and Wheat Products,277.3,394.99,Europe
189,Denmark,Poultry,21.05,21.415,Europe
190,Denmark,Protein Foods,2.9850000000000003,5.26,Europe
191,Denmark,Red Meat,18.083333333333332,332.8233333333333,Europe
192,Ecuador,Fish,5.17,8.25,South America
193,Ecuador,Grains,42.13,32.575,South America
194,Ecuador,Milk and Wheat Products,139.6,198.85,South America
195,Ecuador,Poultry,14.93,15.415,South America
196,Ecuador,Protein Foods,0.49,0.865,South America
197,Ecuador,Red Meat,10.496666666666668,193.0233333333333,South America
198,Egypt,Fish,21.46,34.260000000000005,Africa
199,Egypt,Grains,93.30000000000001,39.445,Africa
200,Egypt,Milk and Wheat Products,59.46,84.69,Africa
201,Egypt,Poultry,9.51,9.86,Africa
202,Egypt,Protein Foods,1.23,1.7550000000000001,Africa
203,Egypt,Red Meat,4.826666666666667,150.95,Africa
204,El Salvador,Fish,6.25,9.98,North America
205,El Salvador,Grains,19.36,9.43,North America
206,El Salvador,Milk and Wheat Products,124.34,177.11,North America
207,El Salvador,Poultry,14.675,15.024999999999999,North America
208,El Salvador,Protein Foods,0.9500000000000001,1.155,North America
209,El Salvador,Red Meat,3.066666666666667,65.24333333333333,North America
210,Estonia,Fish,12.78,20.41,Europe
211,Estonia,Grains,45.96,10.16,Europe
212,Estonia,Milk and Wheat Products,284.85,405.74,Europe
213,Estonia,Poultry,16.885,17.155,Europe
214,Estonia,Protein Foods,2.165,3.8049999999999997,Europe
215,Estonia,Red Meat,12.436666666666667,114.11000000000001,Europe
216,Ethiopia,Fish,0.24,0.38,Africa
217,Ethiopia,Grains,16.755000000000003,4.42,Africa
218,Ethiopia,Milk and Wheat Products,44.14,62.87,Africa
219,Ethiopia,Poultry,0.51,0.5199999999999999,Africa
220,Ethiopia,Protein Foods,0.83,1.1700000000000002,Africa
221,Ethiopia,Red Meat,1.7333333333333334,55.48333333333333,Africa
222,Fiji,Fish,35.01,55.9,Oceania
223,Fiji,Grains,64.92,37.22,Oceania
224,Fiji,Milk and Wheat Products,40.2,57.260000000000005,Oceania
225,Fiji,Poultry,13.350000000000001,13.84,Oceania
226,Fiji,Protein Foods,0.8,1.22,Oceania
227,Fiji,Red Meat,6.390000000000001,166.1233333333333,Oceania
228,Finland,Fish,33.8,53.97,Europe
229,Finland,Grains,43.205000000000005,10.65,Europe
230,Finland,Milk and Wheat Products,430.76,613.57,Europe
231,Finland,Poultry,14.71,15.055,Europe
232,Finland,Protein Foods,1.7550000000000001,3.055,Europe
233,Finland,Red Meat,18.63,246.5233333333333,Europe
234,France,Fish,22.91,36.58,Europe
235,France,Grains,56.655,13.46,Europe
236,France,Milk and Wheat Products,241.31,343.72,Europe
237,France,Poultry,18.03,18.345000000000002,Europe
238,France,Protein Foods,2.7199999999999998,4.779999999999999,Europe
239,France,Red Meat,20.046666666666663,322.1933333333333,Europe
240,French Polynesia,Fish,38.95,62.190000000000005,Oceania
241,French Polynesia,Grains,52.129999999999995,29.32,Oceania
242,French Polynesia,Milk and Wheat Products,93.56,133.26999999999998,Oceania
243,French Polynesia,Poultry,29.15,30.634999999999998,Oceania
244,French Polynesia,Protein Foods,1.555,2.2449999999999997,Oceania
245,French Polynesia,Red Meat,16.16,368.27666666666664,Oceania
246,Gambia,Fish,23.130000000000003,36.93,Africa
247,Gambia,Grains,49.875,43.185,Africa
248,Gambia,Milk and Wheat Products,45.71,65.11,Africa
249,Gambia,Poultry,1.8250000000000002,1.885,Africa
250,Gambia,Protein Foods,2.6350000000000002,4.665,Africa
251,Gambia,Red Meat,1.0166666666666668,30.716666666666665,Africa
252,Georgia,Fish,10.42,16.64,Asia
253,Georgia,Grains,83.035,17.275000000000002,Asia
254,Georgia,Milk and Wheat Products,149.26,212.61,Asia
255,Georgia,Poultry,9.2,9.405,Asia
256,Georgia,Protein Foods,1.235,2.185,Asia
257,Georgia,Red Meat,5.2,80.01666666666667,Asia
258,Germany,Fish,11.16,17.82,Europe
259,Germany,Grains,43.37500000000001,10.09,Europe
260,Germany,Milk and Wheat Products,258.7,368.49,Europe
261,Germany,Poultry,14.975,15.14,Europe
262,Germany,Protein Foods,4.42,7.245,Europe
263,Germany,Red Meat,21.900000000000002,205.01,Europe
264,Ghana,Fish,26.05,41.59,Africa
265,Ghana,Grains,23.240000000000002,21.875,Africa
266,Ghana,Milk and Wheat Products,9.08,12.93,Africa
267,Ghana,Poultry,4.92,5.1899999999999995,Africa
268,Ghana,Protein Foods,2.7849999999999997,4.92,Africa
269,Ghana,Red Meat,1.3966666666666667,33.126666666666665,Africa
270,Greece,Fish,14.42,23.02,Europe
271,Greece,Grains,65.34,16.075,Europe
272,Greece,Milk and Wheat Products,255.26,363.59,Europe
273,Greece,Poultry,12.934999999999999,13.11,Europe
274,Greece,Protein Foods,5.26,9.3,Europe
275,Greece,Red Meat,18.96,344.57,Europe
276,Grenada,Fish,27.95,44.63,North America
277,Grenada,Grains,34.575,11.795,North America
278,Grenada,Milk and Wheat Products,86.88,123.75,North America
279,Grenada,Poultry,26.924999999999997,28.12,North America
280,Grenada,Protein Foods,0.095,0.16,North America
281,Grenada,Red Meat,5.41,63.77333333333333,North America
282,Guatemala,Fish,1.08,1.72,North America
283,Guatemala,Grains,20.779999999999998,7.045,North America
284,Guatemala,Milk and Wheat Products,46.6,66.38,North America
285,Guatemala,Poultry,15.53,15.545000000000002,North America
286,Guatemala,Protein Foods,1.16,1.84,North America
287,Guatemala,Red Meat,3.56,66.00666666666667,North America
288,Guinea,Fish,9.18,14.66,Africa
289,Guinea,Grains,57.835,63.910000000000004,Africa
290,Guinea,Milk and Wheat Products,20.62,29.37,Africa
291,Guinea,Poultry,1.8900000000000001,1.88,Africa
292,Guinea,Protein Foods,2.07,3.665,Africa
293,Guinea,Red Meat,2.6733333333333333,83.25666666666666,Africa
294,Honduras,Fish,2.7,4.31,North America
295,Honduras,Grains,25.89,12.785,North America
296,Honduras,Milk and Wheat Products,91.33,130.09,North America
297,Honduras,Poultry,12.74,13.285,North America
298,Honduras,Protein Foods,0.38,0.665,North America
299,Honduras,Red Meat,4.57,82.07000000000001,North America
300,Hong Kong,Fish,42.44,67.76,Asia
301,Hong Kong,Grains,48.31,32.885,Asia
302,Hong Kong,Milk and Wheat Products,105.85,150.76999999999998,Asia
303,Hong Kong,Poultry,34.68,36.125,Asia
304,Hong Kong,Protein Foods,8.3,12.850000000000001,Asia
305,Hong Kong,Red Meat,31.71666666666667,370.6766666666667,Asia
306,Hungary,Fish,4.930000000000001,7.87,Europe
307,Hungary,Grains,56.065000000000005,11.86,Europe
308,Hungary,Milk and Wheat Products,159.05,226.55,Europe
309,Hungary,Poultry,18.115000000000002,18.49,Europe
310,Hungary,Protein Foods,0.325,0.565,Europe
311,Hungary,Red Meat,13.333333333333334,93.51333333333334,Europe
312,Iceland,Fish,74.41000000000001,118.81,Europe
313,Iceland,Grains,38.405,9.445,Europe
314,Iceland,Milk and Wheat Products,225.82,321.66,Europe
315,Iceland,Poultry,17.555,18.215,Europe
316,Iceland,Protein Foods,1.9949999999999999,3.46,Europe
317,Iceland,Red Meat,18.723333333333333,409.55,Europe
318,India,Fish,4.71,7.52,Asia
319,India,Grains,65.025,50.24,Asia
320,India,Milk and Wheat Products,84.5,120.36,Asia
321,India,Poultry,2.23,2.1950000000000003,Asia
322,India,Protein Foods,1.155,1.79,Asia
323,India,Red Meat,0.5566666666666666,15.429999999999998,Asia
324,Indonesia,Fish,25.65,40.95,Asia
325,Indonesia,Grains,80.035,88.55999999999999,Asia
326,Indonesia,Milk and Wheat Products,14.82,21.110000000000003,Asia
327,Indonesia,Poultry,6.1899999999999995,6.2700000000000005,Asia
328,Indonesia,Protein Foods,3.02,4.6049999999999995,Asia
329,Indonesia,Red Meat,2.0100000000000002,35.526666666666664,Asia
330,Iran,Fish,9.8,15.65,Asia
331,Iran,Grains,91.63,33.785,Asia
332,Iran,Milk and Wheat Products,46.690000000000005,66.51,Asia
333,Iran,Poultry,16.54,17.165,Asia
334,Iran,Protein Foods,6.08,10.76,Asia
335,Iran,Red Meat,2.4233333333333333,79.89666666666666,Asia
336,Ireland,Fish,17.39,27.77,Europe
337,Ireland,Grains,55.49,12.215,Europe
338,Ireland,Milk and Wheat Products,291.86,415.73,Europe
339,Ireland,Poultry,17.61,18.22,Europe
340,Ireland,Protein Foods,2.175,3.685,Europe
341,Ireland,Red Meat,19.616666666666667,315.97666666666674,Europe
342,Israel,Fish,22.18,35.41,Asia
343,Israel,Grains,63.835,21.325000000000003,Asia
344,Israel,Milk and Wheat Products,193.6,275.76,Asia
345,Israel,Poultry,36.925,38.785,Asia
346,Israel,Protein Foods,3.905,6.8500000000000005,Asia
347,Israel,Red Meat,10.88,320.20666666666665,Asia
348,Italy,Fish,15.6,24.91,Europe
349,Italy,Grains,76.055,17.63,Europe
350,Italy,Milk and Wheat Products,246.88,351.66,Europe
351,Italy,Poultry,15.975000000000001,16.119999999999997,Europe
352,Italy,Protein Foods,3.82,6.755,Europe
353,Italy,Red Meat,19.933333333333334,249.5833333333333,Europe
354,Jamaica,Fish,21.95,35.05,North America
355,Jamaica,Grains,47.059999999999995,21.745,North America
356,Jamaica,Milk and Wheat Products,91.13,129.81,North America
357,Jamaica,Poultry,27.39,29.25,North America
358,Jamaica,Protein Foods,0.91,1.61,North America
359,Jamaica,Red Meat,3.0733333333333337,60.25333333333334,North America
360,Japan,Fish,31.1,49.66,Asia
361,Japan,Grains,52.445,42.59,Asia
362,Japan,Milk and Wheat Products,72.06,102.64,Asia
363,Japan,Poultry,19.285,19.225,Asia
364,Japan,Protein Foods,4.965,3.94,Asia
365,Japan,Red Meat,9.97,120.07666666666667,Asia
366,Jordan,Fish,5.13,8.19,Asia
367,Jordan,Grains,78.20499999999998,25.625,Asia
368,Jordan,Milk and Wheat Products,77.67999999999999,110.65,Asia
369,Jordan,Poultry,18.655,19.735,Asia
370,Jordan,Protein Foods,1.79,3.155,Asia
371,Jordan,Red Meat,3.7699999999999996,124.03000000000002,Asia
372,Kazakhstan,Fish,5.21,8.32,Asia
373,Kazakhstan,Grains,49.815,13.485,Asia
374,Kazakhstan,Milk and Wheat Products,288.12,410.4,Asia
375,Kazakhstan,Poultry,13.334999999999999,13.68,Asia
376,Kazakhstan,Protein Foods,2.585,4.555,Asia
377,Kazakhstan,Red Meat,14.433333333333332,364.3066666666666,Asia
378,Kenya,Fish,4.2700000000000005,6.819999999999999,Africa
379,Kenya,Grains,23.794999999999998,11.584999999999999,Africa
380,Kenya,Milk and Wheat Products,94.86,135.12,Africa
381,Kenya,Poultry,1.155,1.0950000000000002,Africa
382,Kenya,Protein Foods,0.9199999999999999,1.4949999999999999,Africa
383,Kenya,Red Meat,3.896666666666666,120.18333333333332,Africa
384,Kuwait,Fish,11.99,19.14,Asia
385,Kuwait,Grains,70.295,37.27,Asia
386,Kuwait,Milk and Wheat Products,157.66,224.57,Asia
387,Kuwait,Poultry,33.105,34.58,Asia
388,Kuwait,Protein Foods,2.645,4.645,Asia
389,Kuwait,Red Meat,9.546666666666667,316.24666666666667,Asia
390,Latvia,Fish,21.3,34.01,Europe
